Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-04-07 17:03:22,false,"Seattle Running","5.09","269","00:32:01","140","165","3.0","162","183","6:18","5:21","58","47","0.99","9.5","9.4","271","--","6:08","226","0.0","220","312","5,198","--","No","00:00:53.9","6","--","--","--","--","00:31:53","00:33:51","5","33"
Running,2025-04-02 15:59:24,false,"Seattle Running","7.24","394","00:48:04","138","167","3.1","153","171","6:38","4:24","88","64","0.99","9.5","9.2","271","--","6:26","220","0.0","203","332","7,494","--","No","00:02:45.7","8","--","--","--","--","00:47:48","01:36:30","12","56"
Running,2025-04-01 18:45:06,false,"Seattle Running","5.16","299","00:39:06","143","173","3.2","141","170","7:35","3:24","60","42","0.93","9.3","8.4","275","--","7:21","203","0.0","172","369","5,640","--","No","00:02:21.4","6","--","--","--","--","00:38:54","00:41:14","6","33"
Running,2025-03-25 15:20:01,false,"Seattle Running","4.38","233","00:32:04","125","155","2.6","149","219","7:20","4:35","52","56","0.93","9.4","8.7","278","--","7:08","196","0.0","180","290","4,790","--","No","00:03:57.6","5","--","--","--","--","00:31:48","00:34:06","3","34"
Running,2025-03-13 11:33:33,false,"Seattle Running","5.31","283","00:35:53","133","153","3.0","157","170","6:45","5:19","61","61","0.95","9.7","9.0","274","--","6:35","213","0.0","201","287","5,684","--","No","00:02:49.4","6","--","--","--","--","00:35:46","00:36:05","12","58"
Running,2025-03-12 14:46:53,false,"Seattle Running","5.11","268","00:38:48","129","160","2.8","145","214","7:35","4:19","51","54","0.89","9.5","8.5","276","--","7:22","201","0.0","175","348","5,746","--","No","00:01:59.8","6","--","--","--","--","00:38:35","00:41:20","9","33"
Running,2025-03-04 16:30:42,false,"Madison County Running","3.97","261","00:29:21","156","173","3.1","156","171","7:23","4:43","133","112","0.88","9.9","8.5","278","--","7:18","221","0.0","201","302","4,612","--","No","00:06:05.6","4","--","--","--","--","00:29:08","00:31:51","2,380","2,493"
Running,2025-02-28 07:01:08,false,"Seattle Running","10.50","580","01:08:57","145","160","3.6","169","181","6:34","5:04","65","72","0.90","9.3","8.3","261","--","6:32","203","0.0","197","304","11,732","--","No","00:04:43.9","11","--","--","--","--","01:08:42","01:14:04","1","25"
Running,2025-02-26 07:06:21,false,"Seattle Running","5.15","406","01:02:55","135","164","3.0","133","225","12:13","4:25","384","456","0.73","9.9","6.4","305","--","11:44","154","0.0","131","372","8,786","--","No","00:02:24.5","6","--","--","--","--","01:02:25","01:13:28","6","131"
Running,2025-02-11 15:21:18,false,"Seattle Running","5.22","257","00:32:19","132","147","2.8","162","231","6:12","3:32","33","69","0.99","9.4","9.4","268","--","6:09","218","0.0","212","296","5,294","--","No","00:01:41.5","6","--","--","--","--","00:32:10","00:34:07","32","90"
